,Position,Artist,Song Title,artist_pop,track_pop
164,64,Dan + Shay,Glad You Exist,0,0
165,65,Justin Bieber and  benny blanco,Lonely,0,0
166,66,Maneskin,Beggin',61,61
167,67,Doja Cat,Streets,0,0
168,68,Drake,What's Next,0,0
169,69,Chris Young + Kane Brown,Famous Friends,0,0
170,70,Nelly and  Florida Georgia Line,Lil Bit,0,0
171,71,Megan Thee Stallion,Thot Shit,82,72
172,72,Roddy Ricch,Late At Night,0,0
173,73,Ava Max,Kings & Queens,0,0
174,74,Justin Bieber,Anyone,0,0
175,75,Mooski,Track Star,0,0
176,76,Moneybagg Yo,Time Today,0,0
177,77,Megan Thee Stallion  and  DaBaby,Cry Baby,0,0
178,78,Mariah Carey,All I Want For Christmas Is You,76,67
179,79,Coi Leray  and  Lil Durk,No More Parties,0,0
180,80,Thomas Rhett,What's Your Country Song,0,0
181,81,Keith Urban Duet With P!nk,One Too Many,0,0
182,82,Duncan Laurence,Arcade,0,0
183,83,Bad Bunny,Yonaguni,0,0
184,84,Niko Moon,Good Time,0,0
185,85,Jason Aldean and  Carrie Underwood,If I Didn't Love You,0,0
186,86,Drake  and  21 Savage and  Project Pat,Knife Talk,0,0
187,87,Ariana Grande,pov,0,0
188,88,Parmalee x Blanco Brown,Just The Way,0,0
189,89,The Weeknd,Take My Breath,0,0
190,90,Dua Lipa,We're Good,0,0
191,91,Eric Church,Hell Of A View,0,0
192,92,Brenda Lee,Rockin' Around The Christmas Tree,0,0
193,93,Ritt Momney,Put Your Records On,60,77
194,94,Billie Eilish,Happier Than Ever,0,0
195,95,Cole Swindell,Single Saturday Night,0,0
196,96,Lainey Wilson,Things A Man Oughta Know,0,0
197,97,BRS Kash,Throat Baby (Go Baby),0,0
198,98,Rod Wave,Tombstone,0,0
199,99,Chase Rice  and  Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen.,0,0
200,100,Rauw Alejandro,Todo de Ti,89,82
201,,,,0,0
202,1,The Weeknd,Blinding Lights,93,90
203,2,Post Malone,Circles,0,0
204,3,Roddy Ricch,The Box,80,81
205,4,Dua Lipa,Don't Start Now,88,79
206,5,DaBaby  and  Roddy Ricch,Rockstar,61,69
207,6,Harry Styles,Adore You,0,0
208,7,Future  and  Drake,Life Is Good,0,0
209,8,Maroon 5,Memories,60,64
210,9,Maren Morris,The Bones,0,0
211,10,Lewis Capaldi,Someone You Loved,0,0
212,11,Doja Cat,Say So,88,80
213,12,Gabby Barrett  and  Charlie Puth,I Hope,0,0
214,13,"""Jack Harlow  and  DaBaby, Tory Lanez and  Lil Wayne""",Whats Poppin,84,77
215,14,Tones And I,Dance Monkey,0,0
216,15,Megan Thee Stallion,Savage,82,70
217,16,Arizona Zervas,Roxanne,66,78
218,17,Justin Bieber  and  Quavo,Intentions,0,0
219,18,Billie Eilish,Everything I Wanted,0,0
220,19,SAINt JHN,Roses,0,0
221,20,Harry Styles,Watermelon Sugar,91,27
222,21,Lewis Capaldi,Before You Go,0,0
223,22,Trevor Daniel,Falling,65,15
224,23,Dan + Shay and  Justin Bieber,"""10,000 Hours""",0,0
225,24,Cardi B  and  Megan Thee Stallion,WAP,0,0
226,25,Mustard and  Roddy Ricch,Ballin',0,0
227,26,blackbear,Hot Girl Bummer,79,5
228,27,Lil Mosey,Blueberry Faygo,70,75
229,28,The Weeknd,Heartless,0,0
230,29,DaBaby,BOP,82,76
231,30,Selena Gomez,Lose You To Love Me,0,0
232,31,Lizzo,Good As Hell,0,0
233,32,Drake,Toosie Slide,95,73
234,33,Dua Lipa,Break My Heart,88,78
235,34,Morgan Wallen,Chasin' You,0,0
236,35,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),63,77
237,36,Chris Brown  and  Drake,No Guidance,0,0
238,37,Camila Cabello  and  DaBaby,My Oh My,0,0
239,38,BTS,Dynamite,0,0
240,39,Chris Brown and  Young Thug,Go Crazy,86,77
241,40,Roddy Ricch  and  Mustard,High Fashion,0,0
242,41,Drake  and  Lil Durk,Laugh Now Cry Later,0,0
243,42,Lil Baby,Woah,0,0
244,43,Powfu  and  beabadoobee,Death Bed,0,0
245,44,Shawn Mendes and  Camila Cabello,Senorita,0,0
246,45,Travis Scott,HIGHEST IN THE ROOM,0,0
247,46,Billie Eilish,Bad Guy,0,0
248,47,24kGoldn  and  iann dior,Mood,0,0
249,48,Lady Gaga and  Ariana Grande,Rain On Me,0,0
250,49,Pop Smoke  and  Lil Baby and  DaBaby,For The Night,0,0
251,50,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),0,0
252,51,Rod Wave,Heart On Ice,0,0
253,52,Blake Shelton Duet With Gwen Stefani,Nobody But You,0,0
254,53,SHAED,Trampoline,59,64
255,54,Juice WRLD x Marshmello,Come & Go,0,0
256,55,Lizzo,Truth Hurts,81,63
257,56,JP Saxe  and  Julia Michaels,If The World Was Ending,0,0
258,57,Lil Baby and  42 Dugg,We Paid,0,0
259,58,Justin Bieber,Yummy,0,0
260,59,Old Dominion,One Man Band,0,0
261,60,Jason Aldean,Got What I Got,0,0
262,61,Surfaces,Sunday Best,71,77
263,62,Eminem  and  Juice WRLD,Godzilla,0,0
264,63,Juice WRLD and  YoungBoy Never Broke Again,Bandit,0,0
265,64,StaySolidRocky,Party Girl,59,71
266,65,Maddie and  Tae,Die From A Broken Heart,0,0
267,66,DJ Khaled  and  Drake,Popstar,0,0
268,67,Mariah Carey,All I Want For Christmas Is You,76,67
269,68,Lee Brice,One Of Them Girls,0,0
270,69,Sam Hunt,Hard To Forget,0,0
271,70,Luke Bryan,One Margarita,0,0
272,71,Lil Nas X,Panini,81,70
273,72,Young Thug  and  Gunna,Hot,0,0
274,73,Carly Pearce and  Lee Brice,I Hope You're Happy Now,0,0
275,74,Lil Baby,Emotionally Scarred,0,0
276,75,YNW Melly and  Juice WRLD,Suicidal,0,0
277,76,Lil Baby,The Bigger Picture,0,0
278,77,Jonas Brothers,Only Human,0,0
279,78,Pop Smoke  and  50 Cent and  Roddy Ricch,The Woo,0,0
280,79,Lil Baby,Sum 2 Prove,0,0
281,80,Ariana Grande and  Justin Bieber,Stuck With U,0,0
282,81,Pop Smoke  and  Lil Tjay,Mood Swings,0,0
283,82,Halsey,You Should Be Sad,0,0
284,83,Pop Smoke,Dior,0,0
285,84,BENEE  and  Gus Dapperton,Supalonely,67,72
286,85,Luke Combs,Even Though I'm Leaving,0,0
287,86,"""THE SCOTTS, Travis Scott and  Kid Cudi""",The Scotts,58,76
288,87,Doja Cat and  Tyga,Juicy,88,73
289,88,Kane Brown With Swae Lee and  Khalid,Be Like That,0,0
290,89,Kane Brown,Homesick,0,0
291,90,Rod Wave  and  ATR Son Son,Rags2Riches,0,0
292,91,Miranda Lambert,Bluebird,0,0
293,92,Juice WRLD,Wishing Well,0,0
294,93,Luke Combs  and  Eric Church,Does To Me,0,0
295,94,Jhene Aiko,P*$$y Fairy (OTW),0,0
296,95,Surf Mesa  and  Emilee,ily,0,0
297,96,Morgan Wallen,More Than My Hometown,0,0
298,97,Luke Combs,Lovin' On You,0,0
299,98,Moneybagg Yo,Said Sum,0,0
300,99,H.E.R.  and  YG,Slide,0,0
301,100,NLE Choppa  and  Roddy Ricch,Walk Em Down,0,0
302,,,,0,0
303,1,Glass Animals,Heat Waves,80,85
304,2,Harry Styles,As It Was,91,96
305,3,The Kid LAROI and  Justin Bieber,Stay,0,0
306,4,Adele,Easy On Me,0,0
307,5,Ed Sheeran,Shivers,0,0
308,6,Jack Harlow,First Class,84,89
309,7,Latto,Big Energy,0,0
310,8,Justin Bieber,Ghost,90,89
311,9,Kodak Black,Super Gremlin,0,0
312,10,Elton John and  Dua Lipa,Cold Heart (PNAU Remix),0,0
313,11,Future  and  Drake and  Tems,Wait For U,0,0
314,12,Lizzo,About Damn Time,81,92
315,13,Ed Sheeran,Bad Habits,90,22
316,14,Lil Nas X,Thats What I Want,81,88
317,15,Imagine Dragons X JID,Enemy,0,0
318,16,Lil Nas X and  Jack Harlow,Industry Baby,0,0
319,17,GAYLE,abcdefu,71,87
320,18,Doja Cat,Need To Know,88,85
321,19,Morgan Wallen,Wasted On You,0,0
322,20,Bad Bunny and  Chencho Corleone,Me Porto Bonito,0,0
323,21,Doja Cat,Woman,88,89
324,22,Bad Bunny,Titi Me Pregunto,0,0
325,23,Kate Bush,Running Up That Hill (A Deal With God),81,95
326,24,"""Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and  Encanto Cast""",We Don't Talk About Bruno,0,0
327,25,Harry Styles,Late Night Talking,91,93
328,26,Post Malone  and  Doja Cat,I Like You (A Happier Song),0,0
329,27,Morgan Wallen,You Proof,0,0
330,28,Steve Lacy,Bad Habit,83,86
331,29,Nicky Youre and  dazy,Sunroof,73,44
332,30,Post Malone and  The Weeknd,One Right Now,0,0
333,31,Olivia Rodrigo,Good 4 U,85,27
334,32,Em Beihold,Numb Little Bug,0,0
335,33,Drake  and  21 Savage,Jimmy Cooks,0,0
336,34,Cody Johnson,Til You Can't,0,0
337,35,Walker Hayes,Fancy Like,0,0
338,36,Luke Combs,The Kind Of Love We Make,0,0
339,37,OneRepublic,I Ain't Worried,0,0
340,38,Beyonce,Break My Soul,0,0
341,39,Zach Bryan,Something In The Orange,0,0
342,40,The Weeknd and  Ariana Grande,Save Your Tears,93,88
343,41,Silk Sonic (Bruno Mars and  Anderson .Paak),Smokin Out The Window,0,0
344,42,Dua Lipa,Levitating,88,83
345,43,Lil Baby,In A Minute,0,0
346,44,Bad Bunny,Moscow Mule,0,0
